BT1:1
C1:1
C2:1
D1:1
D2:1
Q1:1
Q2:1
Q3:1
Q4:1
Q5:1
Q6:1
R1:1
R10:1
R2:1
R3:1
R4:1
R5:1
R6:1
R7:1
R8:1
R9:1
SW1:1
SW2:1
SW3:1
